id,dataset,p,q,P,Q,s,ar,ma,sar,sma,r_loglik,py_loglik
204,sunspots,2,1,0,0,0,"[0.3, 0.3]",[0.4],[],[],-1462.28131896763,-1462.2813189760022
205,sunspots,2,1,0,0,0,"[0.6, -0.2]",[0.6],[],[],-1464.41425340399,-1464.4142534144034
206,sunspots,2,1,0,0,0,"[-0.4, 0.3]",[-0.3],[],[],-1863.78505606077,-1863.7850560256634
207,sunspots,2,1,0,0,0,"[0.2, 0.5]",[-0.5],[],[],-1689.08563936691,-1689.0856393418073
208,sunspots,1,2,0,0,0,[0.3],"[0.4, 0.2]",[],[],-1503.0366271626,-1503.0366271717776
209,sunspots,1,2,0,0,0,[0.5],"[0.3, -0.3]",[],[],-1536.25511353498,-1536.2551135593808
210,sunspots,1,2,0,0,0,[0.7],"[-0.4, 0.2]",[],[],-1541.5005901501,-1541.5005901640636
211,sunspots,1,2,0,0,0,[-0.3],"[0.5, -0.1]",[],[],-1699.20621480223,-1699.206214831037
212,sunspots,2,2,0,0,0,"[0.5, 0.1]","[0.4, 0.2]",[],[],-1416.809829167,-1416.8098291803944
213,sunspots,2,2,0,0,0,"[0.3, 0.3]","[0.3, -0.3]",[],[],-1522.3864082625,-1522.3864083068997
214,sunspots,2,2,0,0,0,"[0.6, -0.2]","[-0.4, 0.2]",[],[],-1644.69427924787,-1644.6942792539771
215,sunspots,2,2,0,0,0,"[-0.4, 0.3]","[0.5, -0.1]",[],[],-1662.84357740179,-1662.8435774422112
216,macro_gdp_growth,1,0,0,0,0,[0.3],[],[],[],-286.422898956413,-286.4228989564128
217,macro_gdp_growth,1,0,0,0,0,[0.5],[],[],[],-274.059854079125,-274.05985407912453
218,macro_gdp_growth,1,0,0,0,0,[0.7],[],[],[],-273.255850600169,-273.25585060016925
219,macro_gdp_growth,1,0,0,0,0,[-0.3],[],[],[],-356.04790547463,-356.0479054746303
220,macro_gdp_growth,1,0,0,0,0,[-0.5],[],[],[],-380.588483565726,-380.5884835657259
221,macro_gdp_growth,2,0,0,0,0,"[0.5, 0.1]",[],[],[],-266.978153727857,-266.9781537278571
222,macro_gdp_growth,2,0,0,0,0,"[0.3, 0.3]",[],[],[],-264.060967760972,-264.06096776097206
223,macro_gdp_growth,2,0,0,0,0,"[0.6, -0.2]",[],[],[],-289.944250389702,-289.9442503897021
224,macro_gdp_growth,2,0,0,0,0,"[-0.4, 0.3]",[],[],[],-340.484891514844,-340.484891514844
225,macro_gdp_growth,2,0,0,0,0,"[0.2, 0.5]",[],[],[],-266.287493576096,-266.28749357609536
226,macro_gdp_growth,3,0,0,0,0,"[0.5, -0.2, 0.1]",[],[],[],-287.344720215972,-287.34472021597213
227,macro_gdp_growth,3,0,0,0,0,"[0.3, 0.2, -0.3]",[],[],[],-298.464786343447,-298.4647863434467
228,macro_gdp_growth,3,0,0,0,0,"[0.6, -0.1, -0.2]",[],[],[],-296.765331824484,-296.7653318244837
229,macro_gdp_growth,0,1,0,0,0,[],[0.2],[],[],-299.861041767115,-299.8610417696618
230,macro_gdp_growth,0,1,0,0,0,[],[0.4],[],[],-293.271344215743,-293.2713442165258
231,macro_gdp_growth,0,1,0,0,0,[],[0.6],[],[],-304.475028525431,-304.4750285073336
232,macro_gdp_growth,0,1,0,0,0,[],[-0.3],[],[],-368.987125613201,-368.98712561116656
233,macro_gdp_growth,0,1,0,0,0,[],[-0.5],[],[],-423.429384606435,-423.4293845799376
234,macro_gdp_growth,0,2,0,0,0,[],"[0.4, 0.2]",[],[],-280.685212569333,-280.6852125715426
235,macro_gdp_growth,0,2,0,0,0,[],"[0.3, -0.3]",[],[],-332.66922710492,-332.66922709749036
236,macro_gdp_growth,0,2,0,0,0,[],"[-0.4, 0.2]",[],[],-354.861347979913,-354.86134799263004
237,macro_gdp_growth,0,2,0,0,0,[],"[0.5, -0.1]",[],[],-308.785409942042,-308.78540992975235
238,macro_gdp_growth,0,3,0,0,0,[],"[0.4, 0.2, -0.1]",[],[],-285.646826238999,-285.64682624336575
239,macro_gdp_growth,0,3,0,0,0,[],"[0.3, -0.2, 0.2]",[],[],-319.763464968019,-319.76346495108794
240,macro_gdp_growth,0,3,0,0,0,[],"[-0.3, 0.2, 0.1]",[],[],-328.206829201965,-328.2068292061321
241,macro_gdp_growth,1,1,0,0,0,[0.3],[0.2],[],[],-282.353102401332,-282.3531024014617
242,macro_gdp_growth,1,1,0,0,0,[0.5],[0.4],[],[],-301.347297248343,-301.34729724208415
243,macro_gdp_growth,1,1,0,0,0,[0.7],[0.6],[],[],-359.665453086465,-359.665453050383
244,macro_gdp_growth,1,1,0,0,0,[-0.3],[-0.3],[],[],-414.682571561673,-414.68257155391444
245,macro_gdp_growth,1,1,0,0,0,[-0.5],[-0.5],[],[],-500.660731026618,-500.66073100862263
246,macro_gdp_growth,2,1,0,0,0,"[0.5, 0.1]",[0.2],[],[],-275.119431476804,-275.1194314762703
247,macro_gdp_growth,2,1,0,0,0,"[0.3, 0.3]",[0.4],[],[],-272.476133685577,-272.47613368322413
248,macro_gdp_growth,2,1,0,0,0,"[0.6, -0.2]",[0.6],[],[],-367.592917683802,-367.59291763348506
249,macro_gdp_growth,2,1,0,0,0,"[-0.4, 0.3]",[-0.3],[],[],-393.361125623792,-393.36112560421543
250,macro_gdp_growth,2,1,0,0,0,"[0.2, 0.5]",[-0.5],[],[],-299.441313632244,-299.4413136248031
251,macro_gdp_growth,1,2,0,0,0,[0.3],"[0.4, 0.2]",[],[],-280.469682325434,-280.4696823240187
252,macro_gdp_growth,1,2,0,0,0,[0.5],"[0.3, -0.3]",[],[],-328.957224929346,-328.9572248864312
253,macro_gdp_growth,1,2,0,0,0,[0.7],"[-0.4, 0.2]",[],[],-264.033742692739,-264.03374269401854
254,macro_gdp_growth,1,2,0,0,0,[-0.3],"[0.5, -0.1]",[],[],-315.213107342618,-315.2131073460648
